Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
FRA,Omicron,2021-12-26,58945.63265306122,154.0,58648.489795918365,687096.5918367347,15754.020408163266,3036.775510204082,67813000.0,67752807.18367347,44.02285714285715
FRA,Omicron,2021-12-27,61421.57142857143,156.0,61130.34693877551,665729.2857142857,15889.244897959185,3084.877551020408,67813000.0,67750175.24489796,43.98857142857143
FRA,Omicron,2021-12-28,64077.77551020408,158.9795918367347,63782.10204081633,636603.9387755102,16025.938775510203,3133.3061224489797,67813000.0,67747360.06122449,43.955714285714286
FRA,Omicron,2021-12-29,68614.61224489796,161.57142857142858,68302.42857142857,600559.4081632653,16176.551020408162,3182.1020408163267,67813000.0,67742661.65306123,43.92428571428571
FRA,Omicron,2021-12-30,75480.91836734695,164.22448979591834,75138.67346938774,559967.8367346938,16354.57142857143,3229.30612244898,67813000.0,67735631.12244897,43.89142857142856
FRA,Omicron,2021-12-31,84035.1224489796,166.9387755102041,83653.85714285714,519915.5918367347,16568.897959183676,3275.204081632653,67813000.0,67726909.97959183,43.86
FRA,Omicron,2022-01-01,94646.42857142857,169.9795918367347,94224.2244897959,483836.7755102041,16821.122448979593,3319.6530612244896,67813000.0,67716128.69387755,43.82714285714285
FRA,Omicron,2022-01-02,106656.20408163263,173.63265306122452,106192.77551020408,452667.4285714286,17110.91836734694,3362.265306122449,67813000.0,67703945.28571428,43.79571428571428
FRA,Omicron,2022-01-03,119717.22448979592,176.75510204081633,119216.34693877552,427524.7959183674,17435.04081632653,3405.1428571428573,67813000.0,67690707.51020408,44.42714285714285
FRA,Omicron,2022-01-04,133144.65306122447,179.51020408163268,132611.38775510204,409230.2857142858,17788.795918367345,3446.5714285714284,67813000.0,67677100.57142857,45.06
FRA,Omicron,2022-01-05,146277.85714285713,182.26530612244895,145719.51020408163,398232.7551020409,18164.877551020407,3486.040816326531,67813000.0,67663785.10204081,45.69428571428572
FRA,Omicron,2022-01-06,159283.32653061225,185.87755102040816,158709.38775510204,394394.7346938776,18552.938775510203,3524.591836734693,67813000.0,67650593.75510205,46.33
FRA,Omicron,2022-01-07,171069.6326530612,190.0816326530612,170484.38775510204,397420.6122448981,18948.102040816328,3562.795918367347,67813000.0,67638617.36734694,46.96
FRA,Omicron,2022-01-08,181957.22448979592,193.9591836734694,181362.77551020408,407218.4081632653,19348.591836734697,3600.65306122449,67813000.0,67627535.81632653,47.58714285714286
FRA,Omicron,2022-01-09,192230.97959183672,197.89795918367344,191627.26530612248,423605.59183673473,19754.408163265303,3638.551020408163,67813000.0,67617064.16326532,48.212857142857146
FRA,Omicron,2022-01-10,206604.5306122449,201.9183673469388,205987.4489795918,445727.1428571429,20169.571428571428,3675.000000000001,67813000.0,67602488.69387755,48.17857142857143
FRA,Omicron,2022-01-11,220830.65306122447,205.87755102040816,220201.3673469388,472344.1020408163,20592.979591836734,3712.571428571429,67813000.0,67588056.69387755,48.14428571428572
FRA,Omicron,2022-01-12,234942.04081632657,208.28571428571428,234302.8163265306,502228.5918367347,21023.91836734694,3751.4489795918375,67813000.0,67573737.02040817,48.11142857142857
FRA,Omicron,2022-01-13,247147.7142857143,209.3877551020408,246504.59183673467,533269.6734693877,21457.65306122449,3788.836734693878,67813000.0,67561321.95918368,48.07857142857143
FRA,Omicron,2022-01-14,259104.14285714287,210.42857142857144,258459.65306122447,560709.081632653,21891.714285714286,3822.3061224489793,67813000.0,67549155.10204081,48.04714285714285
FRA,Omicron,2022-01-15,268901.4285714286,211.12244897959184,268258.02040816325,581117.1428571428,22324.0,3851.081632653061,67813000.0,67539146.69387755,48.01714285714286
FRA,Omicron,2022-01-16,277400.10204081633,211.20408163265304,276757.30612244894,593821.2448979592,22755.591836734697,3874.3469387755104,67813000.0,67530436.81632653,47.98714285714285
FRA,Omicron,2022-01-17,280928.30612244894,211.469387755102,280287.612244898,598578.081632653,23184.81632653061,3892.69387755102,67813000.0,67526697.14285715,47.95857142857143
FRA,Omicron,2022-01-18,284139.4081632653,211.8571428571429,283498.93877551024,595588.4489795918,23613.42857142857,3903.0408163265306,67813000.0,67523274.18367347,47.93142857142857
FRA,Omicron,2022-01-19,287424.8367346939,212.9795918367347,286780.387755102,585254.1020408163,24044.897959183672,3904.755102040816,67813000.0,67519775.7755102,47.90571428571429
FRA,Omicron,2022-01-20,291653.1020408164,213.75510204081635,290991.71428571426,568679.530612245,24492.5306122449,3900.816326530613,67813000.0,67515333.75510205,47.88285714285714
FRA,Omicron,2022-01-21,297529.7346938776,214.34693877551015,296846.5306122449,548268.7142857143,24961.38775510204,3893.142857142858,67813000.0,67509242.7755102,47.861428571428576
FRA,Omicron,2022-01-22,305122.8571428572,215.9795918367347,304414.59183673473,525751.9387755102,25453.67346938775,3882.673469387755,67813000.0,67501433.6734694,47.84
FRA,Omicron,2022-01-23,313572.7346938775,218.0,312841.1020408164,501564.5102040817,25967.306122448976,3870.224489795919,67813000.0,67492765.79591838,47.82
FRA,Omicron,2022-01-24,322739.71428571426,220.20408163265307,321986.5918367347,476394.9183673469,26500.22448979592,3854.795918367347,67813000.0,67483378.61224489,47.392857142857146
FRA,Omicron,2022-01-25,330917.46938775515,223.2244897959184,330150.95918367343,450885.1428571429,27043.51020408163,3838.30612244898,67813000.0,67474977.63265306,46.96571428571429
FRA,Omicron,2022-01-26,338827.24489795923,228.530612244898,338054.3469387755,425666.5918367347,27587.877551020407,3821.673469387755,67813000.0,67466839.3265306,46.535714285714285
FRA,Omicron,2022-01-27,344991.79591836734,234.73469387755105,344227.5102040816,401275.6326530613,28117.42857142857,3804.0,67813000.0,67460440.04081632,46.105714285714285
FRA,Omicron,2022-01-28,348023.28571428574,241.1836734693877,347275.6530612245,378464.4081632653,28623.87755102041,3785.65306122449,67813000.0,67457167.36734693,45.67428571428571
FRA,Omicron,2022-01-29,348748.4285714286,247.34693877551015,348019.20408163266,357697.6530612245,29105.75510204081,3767.183673469389,67813000.0,67456194.87755102,45.24142857142857
FRA,Omicron,2022-01-30,347032.4285714286,253.24489795918367,346322.8775510204,339080.97959183675,29562.0612244898,3748.163265306123,67813000.0,67457657.63265306,44.807142857142864
FRA,Omicron,2022-01-31,343604.63265306124,258.65306122448976,342917.14285714284,322547.04081632657,29990.897959183672,3730.3877551020414,67813000.0,67460826.7755102,44.78
FRA,Omicron,2022-02-01,341398.8775510204,262.7755102040816,340726.8163265306,308008.55102040817,30400.183673469382,3715.673469387756,67813000.0,67462769.75510204,44.75285714285714
FRA,Omicron,2022-02-02,335003.8775510204,261.7551020408163,334359.3265306122,295261.46938775515,30782.979591836734,3703.571428571429,67813000.0,67468903.0,44.72714285714285
FRA,Omicron,2022-02-03,326579.7346938775,260.46938775510205,325960.5714285714,284106.83673469385,31141.67346938775,3693.448979591837,67813000.0,67477066.6734694,44.7
FRA,Omicron,2022-02-04,316422.5306122449,258.53061224489795,315827.69387755095,274040.3673469388,31477.97959183673,3685.326530612245,67813000.0,67486965.34693877,44.67428571428572
FRA,Omicron,2022-02-05,305138.8367346939,258.3265306122449,304568.32653061225,264739.6530612245,31790.16326530612,3678.9183673469392,67813000.0,67497990.71428572,44.64857142857143
FRA,Omicron,2022-02-06,292617.2244897959,257.89795918367344,292071.7755102041,256078.44897959183,32077.714285714286,3673.6326530612246,67813000.0,67510254.42857143,44.62428571428571
FRA,Omicron,2022-02-07,279477.44897959183,257.6938775510204,278963.8979591837,248178.0612244898,32333.571428571428,3668.30612244898,67813000.0,67523136.51020409,44.59857142857143
FRA,Omicron,2022-02-08,265146.5102040816,259.0408163265306,264677.4693877551,241046.6326530612,32543.571428571428,3658.775510204082,67813000.0,67537208.40816326,44.57428571428572
FRA,Omicron,2022-02-09,250140.7551020408,269.265306122449,249701.0408163265,234602.2857142857,32714.020408163266,3645.469387755102,67813000.0,67551944.89795919,44.55
FRA,Omicron,2022-02-10,234627.26530612243,279.34693877551024,234224.5510204082,228801.2448979592,32837.38775510204,3628.571428571429,67813000.0,67567179.04081632,44.527142857142856
FRA,Omicron,2022-02-11,219013.85714285716,291.734693877551,218655.20408163263,223722.10204081636,32904.30612244898,3607.4081632653065,67813000.0,67582500.71428572,44.50428571428571
FRA,Omicron,2022-02-12,203146.4897959184,300.1428571428572,202839.22448979592,219371.7142857143,32911.42857142857,3581.061224489796,67813000.0,67598067.93877551,44.48142857142857
FRA,Omicron,2022-02-13,187719.73469387757,308.4081632653061,187463.32653061225,215783.85714285716,32859.42857142857,3550.469387755102,67813000.0,67613186.28571428,44.45857142857143
FRA,Omicron,2022-02-14,172860.4693877551,316.4897959183673,172656.95918367346,212608.83673469388,32746.44897959184,3514.8163265306125,67813000.0,67627729.06122449,44.43714285714286
FRA,Omicron,2022-02-15,158355.2857142857,322.4693877551021,158201.2857142857,209623.32653061225,32577.979591836734,3476.6326530612246,67813000.0,67641911.7755102,44.41571428571429
FRA,Omicron,2022-02-16,145551.55102040814,315.8775510204082,145454.306122449,206615.77551020405,32359.34693877551,3434.775510204082,67813000.0,67654399.63265306,42.35285714285715
FRA,Omicron,2022-02-17,133917.89795918367,309.2448979591837,133870.85714285713,203277.612244898,32097.14285714286,3390.1836734693884,67813000.0,67665724.04081632,40.29
FRA,Omicron,2022-02-18,123518.51020408164,298.6938775510204,123516.6326530612,199259.20408163263,31800.326530612245,3342.448979591837,67813000.0,67675824.73469387,38.22714285714285
FRA,Omicron,2022-02-19,114314.69387755102,290.2040816326531,114352.83673469388,194402.42857142855,31471.979591836734,3292.1836734693875,67813000.0,67684738.34693877,36.16571428571429
FRA,Omicron,2022-02-20,106156.30612244898,281.6122448979592,106235.12244897956,188648.693877551,31111.55102040816,3239.673469387755,67813000.0,67692615.12244898,34.10428571428572
FRA,Omicron,2022-02-21,98722.85714285714,273.265306122449,98835.20408163263,181846.38775510204,30725.938775510203,3185.836734693877,67813000.0,67699775.30612245,32.042857142857144
FRA,Omicron,2022-02-22,91217.04081632652,262.7551020408163,91365.693877551,173807.44897959186,30314.530612244893,3130.5102040816323,67813000.0,67707018.36734694,29.982857142857146
FRA,Omicron,2022-02-23,84943.73469387754,256.91836734693874,85126.73469387754,164596.73469387757,29874.61224489796,3075.265306122449,67813000.0,67713034.75510204,29.964285714285715
FRA,Omicron,2022-02-24,79607.32653061223,249.65306122448985,79821.12244897957,154502.85714285713,29411.163265306124,3019.244897959184,67813000.0,67718121.51020408,29.947142857142858
FRA,Omicron,2022-02-25,74986.97959183673,244.0,75226.1224489796,143989.18367346938,28928.020408163266,2962.7551020408164,67813000.0,67722497.85714285,29.93285714285714
FRA,Omicron,2022-02-26,70904.04081632652,235.4081632653061,71161.5306122449,133358.55102040814,28435.12244897959,2905.6938775510207,67813000.0,67726345.38775511,29.91857142857143
FRA,Omicron,2022-02-27,67335.0,226.2244897959184,67609.59183673469,122685.59183673467,27934.306122448983,2847.612244897959,67813000.0,67729688.20408164,29.90428571428572
FRA,Omicron,2022-02-28,63995.85714285714,216.12244897959184,64283.71428571428,112446.3673469388,27430.32653061225,2788.3469387755104,67813000.0,67732811.2244898,29.89142857142857
FRA,Omicron,2022-03-01,61122.97959183674,208.0612244897959,61410.81632653061,103108.3673469388,26934.42857142857,2728.244897959184,67813000.0,67735476.04081632,29.87857142857143
FRA,Omicron,2022-03-02,58376.67346938775,200.1836734693877,58658.99999999999,94901.14285714286,26451.91836734694,2667.1020408163267,67813000.0,67738022.16326532,29.867142857142856
FRA,Omicron,2022-03-03,56065.24489795919,193.14285714285717,56338.65306122449,87783.24489795919,25985.367346938776,2605.428571428572,67813000.0,67740140.44897959,29.857142857142858
