Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
ITA,Omicron,2022-01-02,59186.83673469388,142.28571428571428,58716.32653061224,420113.91836734704,10913.551020408164,1130.938775510204,59037472.0,58977055.28571428,53.51571428571429
ITA,Omicron,2022-01-03,67811.42857142857,143.6122448979592,67317.67346938777,415482.6734693878,11263.69387755102,1159.795918367347,59037472.0,58968287.08163265,53.50571428571429
ITA,Omicron,2022-01-04,76898.08163265305,144.79591836734696,76378.0612244898,415148.61224489793,11638.918367346938,1190.9795918367347,59037472.0,58959055.632653065,53.49571428571429
ITA,Omicron,2022-01-05,86903.51020408163,146.6326530612245,86364.91836734694,418621.4897959184,12030.87755102041,1223.5510204081634,59037472.0,58948903.571428575,53.48428571428571
ITA,Omicron,2022-01-06,97508.57142857143,150.1224489795918,96949.04081632654,424400.79591836734,12440.285714285714,1256.8979591836735,59037472.0,58938148.3877551,53.47428571428571
ITA,Omicron,2022-01-07,108318.02040816328,154.71428571428572,107731.04081632652,432409.53061224485,12872.551020408162,1290.5918367346942,59037472.0,58927184.2244898,53.46142857142856
ITA,Omicron,2022-01-08,116482.10204081632,160.40816326530611,115862.3673469388,442608.30612244894,13331.877551020409,1324.9795918367347,59037472.0,58918859.73469388,53.44571428571429
ITA,Omicron,2022-01-09,124026.14285714286,168.26530612244898,123369.95918367348,453839.836734694,13819.795918367348,1360.3061224489795,59037472.0,58911147.42857143,53.42714285714286
ITA,Omicron,2022-01-10,132762.8775510204,175.55102040816328,132070.2857142857,466195.4897959184,14336.836734693878,1396.2448979591834,59037472.0,58902235.14285715,53.40714285714285
ITA,Omicron,2022-01-11,141747.2857142857,184.65306122448985,141017.6326530612,479828.7142857144,14881.836734693878,1432.9591836734692,59037472.0,58893066.08163266,53.387142857142855
ITA,Omicron,2022-01-12,149857.10204081633,193.0612244897959,149095.42857142858,494981.55102040817,15450.448979591838,1469.6326530612243,59037472.0,58884763.20408164,53.36714285714286
ITA,Omicron,2022-01-13,156253.55102040814,201.44897959183672,155466.7551020408,514393.5102040817,16035.795918367348,1505.4897959183672,59037472.0,58878165.30612246,53.34285714285714
ITA,Omicron,2022-01-14,160052.38775510204,211.3877551020408,159257.1224489796,535877.8979591837,16619.673469387755,1540.142857142857,59037472.0,58874155.08163265,53.32142857142857
ITA,Omicron,2022-01-15,166474.2857142857,222.73469387755105,165675.1224489796,556402.1632653062,17196.102040816328,1571.938775510204,59037472.0,58867510.4489796,53.3
ITA,Omicron,2022-01-16,171655.73469387757,235.12244897959184,170864.57142857142,575981.1020408163,17752.14285714286,1600.061224489796,59037472.0,58862093.87755103,53.28000000000001
ITA,Omicron,2022-01-17,174943.7551020408,248.8775510204082,174164.61224489796,594262.469387755,18282.408163265303,1625.2448979591838,59037472.0,58858556.97959184,53.26142857142857
ITA,Omicron,2022-01-18,176529.95918367346,262.08163265306126,175778.85714285713,610867.1020408163,18771.42857142857,1645.387755102041,59037472.0,58856708.69387756,53.24285714285714
ITA,Omicron,2022-01-19,177257.42857142858,277.42857142857144,176531.306122449,625300.5918367347,19220.12244897959,1661.0,59037472.0,58855703.79591837,53.22285714285714
ITA,Omicron,2022-01-20,177936.81632653062,292.4693877551021,177236.08163265305,634413.2040816325,19628.38775510204,1673.1224489795918,59037472.0,58854731.9387755,53.20428571428572
ITA,Omicron,2022-01-21,179619.08163265305,306.5102040816327,178947.44897959186,638920.3673469388,19993.510204081635,1682.142857142857,59037472.0,58852743.16326531,53.184285714285714
ITA,Omicron,2022-01-22,179100.51020408163,318.02040816326536,178468.1632653061,639739.1428571428,20307.83673469388,1688.6938775510205,59037472.0,58852943.71428572,53.08142857142857
ITA,Omicron,2022-01-23,178357.4081632653,327.5102040816327,177761.81632653062,636781.1224489796,20575.918367346945,1693.1632653061226,59037472.0,58853359.306122445,52.97857142857142
ITA,Omicron,2022-01-24,177271.42857142858,334.7142857142857,176717.5510204082,630371.2857142857,20795.081632653066,1694.7142857142858,59037472.0,58854110.571428575,52.87428571428571
ITA,Omicron,2022-01-25,176762.9387755102,342.02040816326524,176239.59183673467,620935.918367347,20976.408163265307,1695.0,59037472.0,58854277.04081632,52.76857142857143
ITA,Omicron,2022-01-26,175832.48979591837,347.18367346938777,175339.32653061225,608975.8775510204,21122.38775510204,1694.428571428571,59037472.0,58854860.306122445,52.66285714285714
ITA,Omicron,2022-01-27,174115.08163265305,351.91836734693874,173655.95918367346,595920.9795918367,21229.5918367347,1692.1632653061224,59037472.0,58856225.79591837,52.55571428571428
ITA,Omicron,2022-01-28,171232.10204081633,355.3265306122448,170795.2857142857,582380.1632653062,21311.081632653066,1687.7551020408162,59037472.0,58858753.4489796,52.44714285714286
ITA,Omicron,2022-01-29,167818.8367346939,358.5714285714285,167398.4693877551,569202.2040816327,21372.87755102041,1681.571428571429,59037472.0,58861808.14285714,52.42
ITA,Omicron,2022-01-30,163909.51020408163,362.204081632653,163506.0,556846.081632653,21414.18367346939,1673.6326530612243,59037472.0,58865355.26530612,52.39142857142857
ITA,Omicron,2022-01-31,159522.65306122447,366.4285714285714,159128.22448979592,545274.4285714285,21442.183673469382,1664.2857142857142,59037472.0,58869375.69387756,52.361428571428576
ITA,Omicron,2022-02-01,154843.67346938775,369.265306122449,154464.18367346938,534302.8775510205,21452.408163265307,1652.530612244898,59037472.0,58873685.408163264,52.33142857142858
ITA,Omicron,2022-02-02,148763.20408163266,370.530612244898,148404.2857142857,523679.3673469388,21440.795918367345,1638.3673469387754,59037472.0,58879395.34693878,52.30142857142857
ITA,Omicron,2022-02-03,142396.14285714287,370.2244897959184,142055.04081632654,513136.3469387756,21411.673469387755,1621.4489795918366,59037472.0,58885392.18367346,52.27142857142858
ITA,Omicron,2022-02-04,136023.79591836737,370.34693877551024,135707.4693877551,502151.8367346939,21357.65306122449,1602.2244897959183,59037472.0,58891394.18367346,52.24
ITA,Omicron,2022-02-05,129606.67346938777,371.48979591836735,129315.8163265306,490077.2448979592,21277.020408163266,1581.1836734693877,59037472.0,58897439.816326536,52.20571428571429
ITA,Omicron,2022-02-06,123101.2448979592,371.6938775510204,122834.24489795916,476445.00000000006,21172.326530612245,1558.7142857142858,59037472.0,58903573.551020406,52.17142857142858
ITA,Omicron,2022-02-07,116865.40816326533,371.6122448979592,116626.02040816328,461033.04081632657,21040.102040816324,1535.0204081632655,59037472.0,58909437.7755102,52.137142857142855
ITA,Omicron,2022-02-08,110711.32653061223,371.1224489795918,110501.0612244898,443906.30612244894,20879.24489795918,1510.6938775510205,59037472.0,58915220.73469388,52.10285714285715
ITA,Omicron,2022-02-09,105595.36734693876,371.2448979591836,105409.4693877551,425245.4081632653,20693.89795918367,1485.6938775510205,59037472.0,58919965.4489796,52.06857142857143
ITA,Omicron,2022-02-10,100687.34693877552,371.7755102040816,100529.2448979592,405364.7959183674,20480.22448979592,1461.7755102040817,59037472.0,58924501.69387756,52.03428571428572
ITA,Omicron,2022-02-11,95908.36734693876,369.9795918367346,95779.91836734694,384702.6734693878,20238.693877551017,1438.1632653061224,59037472.0,58928910.69387756,51.371428571428574
ITA,Omicron,2022-02-12,91333.97959183672,365.0408163265306,91236.89795918368,363742.0408163265,19970.734693877548,1414.3265306122448,59037472.0,58933120.04081633,50.71
ITA,Omicron,2022-02-13,87030.28571428571,357.97959183673464,86968.79591836735,342951.4081632653,19674.244897959183,1388.8775510204082,59037472.0,58937065.75510204,50.04714285714285
ITA,Omicron,2022-02-14,82697.38775510204,350.265306122449,82673.73469387754,322749.4081632653,19347.632653061224,1361.612244897959,59037472.0,58941048.3877551,49.385714285714286
